[2025-05-28 13:37:16]  ✅2 Poslat mejl -> ID: 51105, IDMail: 45563, Status: 2, Opis: -,  Datum: 28.5.2025. 13:37:16, Subject: : Imate novi Ulaz u centralni magacin za verifikaciju
[2025-05-28 13:37:28]  ✅2 Poslat mejl -> ID: 51107, IDMail: 45564, Status: 2, Opis: -,  Datum: 28.5.2025. 13:37:28, Subject: : Vraćen je u izradu Ulaz u centralni magacin
[2025-05-28 13:38:37]  ✅2 Poslat mejl -> ID: 51109, IDMail: 45565, Status: 2, Opis: -,  Datum: 28.5.2025. 13:38:36, Subject: : Imate novi Ulaz u centralni magacin za verifikaciju
[2025-05-28 13:38:47]  ✅2 Poslat mejl -> ID: 51111, IDMail: 45566, Status: 2, Opis: -,  Datum: 28.5.2025. 13:38:46, Subject: : Verifikovan je Ulaz u centralni magacin
[2025-05-28 13:39:09]  ✅2 Poslat mejl -> ID: 51113, IDMail: 45567, Status: 2, Opis: -,  Datum: 28.5.2025. 13:39:09, Subject: : Imate novi Prenos zaduženja polisa za verifikaciju
[2025-05-28 13:39:23]  ✅2 Poslat mejl -> ID: 51115, IDMail: 45568, Status: 2, Opis: -,  Datum: 28.5.2025. 13:39:23, Subject: : Vraćen je u izradu Prenos zaduženja polisa
[2025-05-28 13:39:36]  ✅2 Poslat mejl -> ID: 51117, IDMail: 45569, Status: 2, Opis: -,  Datum: 28.5.2025. 13:39:35, Subject: : Imate novi Prenos zaduženja polisa za verifikaciju
[2025-05-28 13:39:49]  ✅2 Poslat mejl -> ID: 51119, IDMail: 45570, Status: 2, Opis: -,  Datum: 28.5.2025. 13:39:49, Subject: : Verifikovan je dokument Prenos zaduženja polisa
[2025-05-29 09:22:17]  ✅2 Poslat mejl -> ID: 51121, IDMail: 45571, Status: 2, Opis: -,  Datum: 29.5.2025. 09:22:18, Subject: : Imate novi Ulaz u centralni magacin za verifikaciju
[2025-05-29 09:22:28]  ✅2 Poslat mejl -> ID: 51123, IDMail: 45572, Status: 2, Opis: -,  Datum: 29.5.2025. 09:22:29, Subject: : Vraćen je u izradu Ulaz u centralni magacin
[2025-05-29 09:23:24]  ✅2 Poslat mejl -> ID: 51125, IDMail: 45573, Status: 2, Opis: -,  Datum: 29.5.2025. 09:23:25, Subject: : Imate novi Ulaz u centralni magacin za verifikaciju
[2025-05-29 09:23:34]  ✅2 Poslat mejl -> ID: 51127, IDMail: 45574, Status: 2, Opis: -,  Datum: 29.5.2025. 09:23:34, Subject: : Verifikovan je Ulaz u centralni magacin
[2025-05-29 09:24:15]  ✅2 Poslat mejl -> ID: 51129, IDMail: 45575, Status: 2, Opis: -,  Datum: 29.5.2025. 09:24:15, Subject: : Imate novi Prenos zaduženja polisa za verifikaciju
[2025-05-29 09:24:28]  ✅2 Poslat mejl -> ID: 51131, IDMail: 45576, Status: 2, Opis: -,  Datum: 29.5.2025. 09:24:28, Subject: : Vraćen je u izradu Prenos zaduženja polisa
[2025-05-29 09:24:40]  ✅2 Poslat mejl -> ID: 51133, IDMail: 45577, Status: 2, Opis: -,  Datum: 29.5.2025. 09:24:40, Subject: : Imate novi Prenos zaduženja polisa za verifikaciju
[2025-05-29 09:26:40]  ✅2 Poslat mejl -> ID: 51135, IDMail: 45578, Status: 2, Opis: -,  Datum: 29.5.2025. 09:24:53, Subject: : Verifikovan je dokument Prenos zaduženja polisa
